,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.202407924757287,0,0.102255946012297,0,0.0307289447517737,0,-0.0647526019581414,0,0,0,0.41266304999009,0,0,0,-0.115445339199559,0,0,0,0,0,0,0,0,0,0,0,0,0.0975343310571392,0.0227040681159008,0,0,0,0,0,-0.0848084406751907,0,0.166460327636331,0,0,0,0,0,0.0842998767945278,0,0,0.0790353256156769,0,0,0,0,0.0189651806727574
X601318.CH.EQUITY,0,0,0,0,0,0,0.00255091284019427,0,0.103702075595264,0,0.0152227318226145,0,0,-0.155903891648827,0,0.0794144948410486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218927086980223,0,0,0,0,-0.251825054344469,0,0.433661412180735,0.109207742401945,0.0340028445327985,0,0,0,0,0,0.180761825438723,0,0
X601939.CH.EQUITY,0.138269581777206,0,0,0.36377958754246,0,0.0718519822469926,0,-0.078389501202622,0,0,0,0,0,0,0.0889813989515304,0,0,0,0,-0.0197944916564663,0,0.102216792703135,0,0,0,-0.0883324658261763,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154263459177032,0.491692298323381,0,0,0,0,0,0,0,0,0,0.00175332221618205,0,0
X601288.CH.EQUITY,0.406572105939696,0,0.155613658595595,0,0,0.159417171021113,0,0,0.0445718500393086,0,0,0,0,0.0313546604970657,-0.00301748960878183,-0.143459226172048,0.0517512041999784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121984476154086,0,0,0,0,0,0,0,0,0.181739557740478,0,0,0,0,0,0,0,0,0.191311105243521,0,0,-0.0152355354752928
X5.HK.EQUITY,0,-0.127678947203633,0.0274422795072548,0.286146299386422,0,0,0,-0.250269114989244,0,0,0,0,0.144583096347524,0,0,0,0,0,0,0,0.540078157083996,0,0,0,0,0.303895680520006,0,-0.0108680422411186,0,0,0,0,0,0.0221793972717285,0,0,0,0,0,0,0,0,0,0,0,0,0.201549489942173,0,-0.0718378900104734,0,0,0
X601988.CH.EQUITY,0.177719097822981,0,0.122308983144193,0.120969417896853,0,0,0,0,0.095320391436473,0,0.0971492161013656,0,0,-0.271837032335773,0,0,0,0,0,0,0,0,0.0767343335944359,0.270244986846934,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.132133303903127,0,0,0,0,0,0,0,0,0.0249291558285108
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.080805962396224,0,0,0,0,0.00697380792996646,0,0.291956142079661,0.223816727221903,0,0.0365844970102034,0,0,0.0830455928890054,0,0.000655269769474873,0,0,0,0,0,0,0,0,0.0792277922429182,0,0,0.036920049025334,0,0,0,0,0,0,0,0,0,0,0,0,0.117836865130395,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0335400034283286,0.0695955178903608,0,0,0,0.138512366115988,0,0,0,-0.145110287243126,0,0,0,0.370198241770058,0,0.251921532338267,0,0.042469567418928,0,0,0,0,0.103117268645534,0,0,-0.00418061928373591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.124292428699417,0.32059641801302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301287705956137,0,0.0266899293326404,0,0,0,0,0,0,0,0,0,0.118706082604164,0.0152265699633768,0,0.0475566202599142,0,0,0,0,0,0,-0.365682952881568,0,0,0.0689825712156152,0,0,0.195711404737339,0,0,0.205317718767128,0,0,0,0,0.0956594160300622
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127273067688748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
