,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0343392316734825,0,0,0,0,0,0,0,0,0,0,-0.00192453935763516,0,0.539325807588255,0.78790080891934,-0.106974988279709,0.0109522385990032,0,0,0,0.201064211480135,0,-0.23093600558569,0,0,-0.324044194345214,0,0,0,0,-0.0446890781697604,-0.0800254534865562,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.201006586833245,0,0,0,-0.0163698862727341,0,0,0,-3.46944695195361e-18,0,0,0,0.0882671697752339,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0288391181376397,0,0.0766310586220725,0.00236403325158436,0,0,0,0,0,0.241550310945755,0,0,0,0,0,0,0,0.0898049886527086,0,0,0,0.225770600051213,0,0.0866691768821988
X601939.CH.EQUITY,0,0,0,0.848225749717227,0,0,0,0,0,0.0139937868799203,0,0,-0.115433843897973,0,0,0.0249827750390755,0,0.0654619010434341,0,0,0,2.16840434497101e-19,0,0,0,0,0.0477565082157897,0,0,0.0584722589687818,0,0,0,0,0.0158427910441652,0,0,0,0,0,0,0,0,0.0696662638632586,0,0.0168809084954575,0,0,0.00887481365983864,0.0417075544669387,0,0
X601288.CH.EQUITY,0.0383377729614065,0,0.88012686772453,0,-0.0606002269612668,0,0,0,0,0,0,0,0,0,0.0108531398454556,0,0.0272383810976373,0.137677898065797,0,0,0,0,0,0,0,0,0.0383568687123907,0,0,0,0,0,0,0,0,0,0,0,0,-0.116270470208302,0,0,0,0,0,-0.047499747505314,0,0,0,0,-0.047467955831086,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.108741994453559,0,0.335276694444364,0.0689512997171026,0,0,0,0,0,0,0,0,0.0799209556125274,-0.0212812606977445,0,0,0,0,0,0,0,0,0,0,0,-0.0816257495795029,0.289724600399572,0,0.15024387721645,0,0,0,0,0,0.150942242166046,0,0,0,0,0,0,0.0993335562301196,0.120040222333617
X600036.CH.EQUITY,0,0,0.394227724812543,0,0,0,0,0,0.0216195137323371,-0.0110854640580736,0,0,0,0,2.16840434497101e-19,0.116489695009791,0,0,0,0.0092906497734872,0,0,0,0,0,0,0.184100939964646,0,0.0278496538099124,0.141503587961941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186809364014659,0
X601988.CH.EQUITY,0,0,0,0.0764244909577846,-0.156185208590753,0.0166235802493768,0,0.0495902776600441,0,0,-0.0457050238267186,0,0,0,0,0,0,0,0,0,-0.108584025243166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717244398685817,0,0,0,0.0383820785952588,0.0144465768485286,0,0,0,0,1.04337325702427,0.00697927208940937,0
X1299.HK.EQUITY,0,0.106618272100992,0,0,0.158074962873382,0,0,0,0,0.246629573822047,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216039894174009,0,0,0.351651344608538,-1.73472347597681e-18,0.225546185996657,0,0.124870035100063,0.120414680994636,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.115533955006228,0,0,-0.104040642648116,0,0,0,0,0,0.110498460810587,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987584744980623,0,-0.0853310615773508,0,0,0,0.048340275228116,0,0,0.00898156383107537,0.32327635434578,0.392447171738215,0,0,0,0,0,0,0,-0.0840453442706427,0,0,0,0,0,0,0.0584836279619721,-0.138038168411003,0,0,0,0,0,0,0.204847261899918,-0.0750614732805588
X388.HK.EQUITY,0,0,0,0,0.340543103464681,0,0,0,0,0,-0.196637576799772,0,0,0,0.00788604640644864,0,0,0,-0.21029430806287,0,0,0,0,0,0,0.450866711777398,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,-0.0539066880684501,0,-0.146159457413099,0.225745382365315,0,0,0.0312442888508639,0,0.0489657508740105,0,-0.139013639787684,0
