,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.345431643748622,0.0736818294009429,0.0686813059423047,0.0482144867727792,0,0,0,0,0,0.239692742369419,0,0,0,0,0,0,0,0,0,0,-0.00364770232303463,0,-0.0308180520295778,0,0.0311401479692327,0,0,0,0.00350892371517744,0,0,0,0,0,0,0,0,0,0,0,-0.00589304010880162,0,0.042718803389008,0,0,0,0,0,0,0.155548208230425,0
X601939.CH.EQUITY,0.449868947308146,0,0,0.0802460525573394,0,0,0,0,0,0,0,0,0,0.105198273804662,-0.146206208419376,0,0,0,0,0,0,0,0,0,0,0.278344388072986,0,0,0,0,0,0,0,0,0,0,-0.0206143629862916,0,0,0,0,0,0,0,0,0,0,0.140353519184713,0.0718739167945286,0,-0.0724825482835982,0
X601318.CH.EQUITY,0,0,0,0,0.196097716818266,0.241084146899272,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146829793517214,0,0,0,0,0.0687578452425491,0,0.0254609687085,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.296152727098041,0.0954300843994294,0,0,0.174312694703001,0,0,0,0,0,0,0,0,0.189639755288766,0,0,0,0,-3.46944695195361e-18,0.0454038956473974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120911551293127,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.379403840075954,0,0,0,0,0,0.336466976794564,0,0,0,0,0,0.208426324124625,0,0.139141475511375,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0683964404486164,0,0,0,0,0,0,0,0,-0.480033726598833,0,0,0,0,0,0,0,0.0114562469688463,0,0,0,0,0,0,0.310585560731317
X600036.CH.EQUITY,0,0.0258709445990086,0,0,0,0,0,0,0.0531121030055492,0,0,0,0.14633929395202,0,0,0,0,0.0512535837628474,0,0.0277130551422774,0,0,0.153335819218183,0,0,0,0,0,0,0,0,0.357220130558634,0,0,0,0,0,0,0,0,0.0580396189050467,0,0.0407676742916897,0.187025540942657,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0889708743428705,0,0.149547628889709,0,0,0.150096568981599,0,0,0.241805603802521,0,0,0,0,0.225893676032303,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.143424597419357,0,0,0,0,0,0,0,0,0,0,0,0.0548969166985279,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445256237212894,0,0,-0.0396931486828932,0,0,0,-0.382211601030398,0,0.612718687002676,0,0.0469919455718354,0.691209813806716,0,0,0.018226310898759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148817513032191,0,0.288577026191082,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0680680786721025,0,0,0,0,0,-0.108771696779926,0,0,0,0,0,0,0,0,0.0864517660328046,0,0.296126069203905,0.119145648214956,0,0,0,0,0,0,0,0,0.0404291668420958,0,0,0.0758085452615534,0,0,0,0,0.114820637722777,0.0034242755038207,0,0,0,0,0,0,0,0,0.15976083780287,0.0598112816225917
X601658.CH.Equity,0,0,0,0.0229282510745951,0.125241262448603,0,0,0,0,0,0,-0.126016440273064,0,0.207559671946313,0,0,0,0.225907811926036,0,0,0.0878263919858947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271070318324378,0.122905641272045,0,0,0,0,-0.0367642986193069,0,0,0,0,0,0,0,0,0,0
