,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.134509673844571,0,0,0,0,0,0,-0.00464709839073424,0,0,0,0,0,0,0,0,0,0,-0.0301820330925209,0.0176198283437043,0,0.36532988409873,-0.175428289503878,0.453942556345998,0.248694562086301,0,0,-0.101832818090971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251682645688888
X601318.CH.EQUITY,0,0,0,0,0,0.226010393337705,0,0,0,-0.0864519170652077,0,0,0,0.000632382456636368,0,0,0,0.0603238623420938,0,0,0,0,0,0,0,0,0,0,0,0.0747363172204083,0.19723798335342,0,0,0.0342436289711992,0,0.228614036631124,0,0.110040270816429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297684898116922
X601939.CH.EQUITY,0,0.0463512924519054,0,0.799018574638051,0,0,0.0142412240286378,0,0,0.0437328766051033,0,0.0227680779442225,-0.0292800085459845,0,0,0,0,0.0909060341097956,0,0,0,0,0.00162206875266032,0,1.73472347597681e-18,0,0,0.0220311755803064,0,0,0.0309542127004452,0,0,0,0,0,0,0.0766142663345913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.922704253490338,0,-0.0555734987511999,0,0,0,0,0,0,0,0,0,0,0.00907698492366821,0,0,0.132306874662216,0,0,0,0,0,0,0,0,0.0306015433907734,0,0,0,0,0,0,0,0,0,0,0,-0.0749982660342984,0,-0.0891754002741056,0,0,0,0.0328899117307964,0,0,0,0.00936773676430662,-0.0427209617140678,0
X601628.CH.EQUITY,0.00553043628964076,0,0,0,0,0,0,0,0,0.284220002501361,0.123871936005924,0,0,0,0,0,0,0,0,0.445673315875242,0,0,0,0,0,0,0,-0.0312656296885019,0,0,0,0,0,0,0,0,0,0.0665621752095186,0,0,0,0,0,0,0,0.0137826551755707,0,0.278299937865598,0,0,0,0.0195834012082781
X600036.CH.EQUITY,0,0,0,0.35324359007776,0,0,0,0,0.0519619858988724,0,0,0,0,0,0,0,0.137578894257436,0.0527447317086011,0,0,0,0,0,0,0,0,0.129377505151067,0.0921392163133705,0,0,0,0,0,0.0444066918226807,0,0,0,0.0160590618763241,0,0,0,0,0,0.00650036861620383,0.0115635446989797,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0725626172947032,-0.052906462553011,0,0,0.00680111108356283,0,0,-0.0515677788731156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00685763843332506,0,0,0,0,0,0,0,0,0.0121302350442405,0,0,-0.119753071944803,0,0.974748742325044,0.108132337170246,0,0
X1299.HK.EQUITY,0,0,0,0,0.119152481892251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294943104963733,0,0,0,0,0,0,0,0,0,0,0.104406015870427,0.324579302774829,0,0,0,0,0,0,0,0,0.0282495236899884,0.0559561396911144,0,0,0,0.0539931522015295,0,0,0,0.138022230162964
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136103026860459,0,4.33680868994202e-19,0.0333776174924676,0,0,0,0,0,0.197213606333569,0.463199758536468,0,0,0,0,0,0,0,0,-0.0900422726845868,0.0811529477279361,0,0,0,0,0.0497437964805241,0.0416472526432225,0,0,-0.145681515428294,0,-0.0479176980690907,0.17164531689184,-0.0286230389656289
X388.HK.EQUITY,0,0,0,0,0.221242884951227,0,0,0.169371471782479,0,0,0,-0.0876103530739838,0,0,0.0750381646301321,0,0,-0.0275349200662013,0,0,0,0.345831582512017,0,0,0.112682948115361,0,0,0,-0.0108821990755723,0,0,0,0,0.0725619106386431,0,0,0,0,0,0,0,0,0,-0.12827343683458,0,0,0,0,0,0,-0.0507683332083701,0.317839855873767
