,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.466816650196352,0,0,0.416329651911558,0,0,0,0,0,0,0,0,0,-0.0622833415477153,0,0,-0.0584490913089807,0,0,0.019244739828224,0,0,0,0,0,0,0,0,0,0,0,0,0.226620850608109,0,0,0,0,0,0,0,0,0,0,-0.0953529032927806,0,0,-0.191712283700736,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0158089847701414,0,0,0,0,0,0,0.167839217062617,0,0,0.263828180222233,0,0,0,0,0,0,0,0,0,0,0,0.0373808858072626,0.0195911997931973,0,0,0,0.0881508991962075,0,0,0,0,0,0.356325954567917,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.174661289029674,0,0,0,0,0,0,0,0,0,0.0452040807182536,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.11579348643349,0,0,0,0.0300526110721941,0.399109018216097,0,0,0,0,0,0,0,0,0,0.109628393526517,0,0,1.73472347597681e-18,0,0,0,0,0.0457960462751696,0,-3.46944695195361e-18,0,0,0,0,0
X601288.CH.EQUITY,0.0445668053660897,0,0,0,0,0.0757676527458892,0,0,0,0,0.0849835724487061,0,0,0,0,0,0,0,0,0,0.063836763407735,0,0,0,0,0.147992819640335,-0.0411508111474472,0,0,0,0,0,-0.000288607363116121,0,0,0.0208586721620982,0,0.0108355735422074,0,0.262136523197602,0,0,0,0.2374935499302,0,0,0,0.0369653708032757,0,0,0
X5.HK.EQUITY,0,-0.0996321063505605,0,0,0,0,0,0,0,0,0,0,0,0,0.0526684396983674,0,0,0.107852907926307,0,0.37813645569668,0,0,0.367228253874519,0,0,0,3.46944695195361e-18,0,-0.248107029620082,0,0,0,-0.0603441284866613,0,0,-0.00580033174338201,0,0,0,0,0,0,0,0,0,-0.0133627404917985,0,-0.101306063764143,-0.0719053224033721,0.229943867022739,0
X601988.CH.EQUITY,0.166101244987163,0.00333648086327292,0,0.38196386195064,0,0,0,0,0,0.105755935961798,0,0,0.138435458384646,0,0,0,0,0,-1.0842021724855e-19,0,0,0.0668175665707634,0,0,0,0,0.0374951262370853,0,0,0,0,0,0,0.131471188543921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116964150698984
X600036.CH.EQUITY,0,0.267947403058446,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.109239729740519,0,0.0666317221698086,0,0,0.0206866594244958,0,0.0306073334476631,0,-0.0028999007714161,0,0,0,0,0,-0.0598532706430069,0,-0.0141968678890127,0,0,0.242844725848782,0,0.121317875593724,0.0454314614428489,-0.179698309033606,0,0,0,0.205331757417017,0,0,0,0,0,0,0,0,0,0.218488481718917,0
X1299.HK.EQUITY,0,0.0423762751108262,0,0,0,0,0,0,0,0,0,0,0,-0.101523128726296,0.00524253676426755,0.0154259127250914,0,0.282926082458112,0.16560411299479,0,0.293683466218244,0,1.38777878078145e-17,0.233271808420747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127677072401425,0,0,0,0,0,0,0,0,0,0,0,-0.210840173904037
X601628.CH.EQUITY,0,0.189242802429623,0,0,0,0,0,0,0,0.0725479446199691,0,0,0,0,0,0,0.240223679235375,0,0,0,0.155115707764678,0,0,0,0,0,0,0,-0.10084355395365,0,0,0,0.111023392962424,0,0,0,0,0.100772103231367,-0.0591756026134506,0.147355167507371,0,0.0241148058997444,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.111436294048486,0,0,0.266934292579777,0.0944426035785691,0,0,0,0,0,0,0,0,0,0.273147750263801,0,0,0,0,0,0,0,0,0,0.10576888256639,0,0,0,0,0,0,0.315554513140847,0,0.121598489329893,0,0,0,0,0,0,-0.105073433508608,0,0,0,0,0,0,0,-0.0994842841024097
