,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.573710803877112,0,0.0276926836680189,0,0.0498265310697301,0,0,0,0,0,0.091579571109742,0,0,0,0,0,0.0869271756799492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698390011434338,0,0,0.0632797357805499,-0.0156925525357498,0,0,-0.0311241074433095,0,0.0150550277044651,0,0.0146816822304285
X601318.CH.EQUITY,0,0,0,0,0,0,0.151648368961879,0,0.0900960757862753,0,0,0,0,0,0,0,0.0700441184312279,-0.00955310344458832,0.248056634952987,0,0,0,0,0,0,0,0,0,0,0,-0.0144064524932614,0,0,0.0469971564318868,0,0,0,0,1.73472347597681e-18,0.182934377657128,0,0.0437581259498794,0,0,0,0,0,0.144407512758696,0,0,0
X601939.CH.EQUITY,0,0,0,0.386182117346231,0,0.245831981052788,0,0,0,0.0211144324945903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110534202211045,0,0,0,0,0.169057228621604,0,0,0,0.0158824285275776,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0189990709281335
X601288.CH.EQUITY,0.0654205442861357,0,0.241742364078432,0,0,0,0,0,0,0.159711075806818,0,0,0,0,0,0,0,-0.0139174247739708,0.128019606882482,0,0,0,0,0,0.154324430176958,0.0436637748056053,0,0,0,0.125670595968142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.184381911738213,0,0.357864561391696,0,0,0,0,0,0,-0.16302519616902,0.338468386247891,0.218966716490222,0.13874639320667,-0.099843250366054,0,-0.156796710920357,0,0,0,0,0.208948918766178,0,0,0,0.11383445838323,0,0,0,0,0,0,0,0,0,0,0,0.0511373543970986,0,0,-0.140034788677342,-0.476894842646322,-0.0422297209730783,-0.082411811012477,0,0.0915211495204019,0
X601988.CH.EQUITY,0.100313978553335,0,0,0,0.0240082702071079,0,0,0,0,0,0,0,0.0327013622663407,0,0,0,0,0,0,0,0,0,0.601319480042634,0.0318254558553334,0,0,0,0,0,0.119376547029869,0,0,0,0,0,0,0,0,0,0.0660487694348765,0,0,0,0.00356597638612909,0,0,0,0,0,0.0960545909958467,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0246652502334202,0,0,-0.0226521947184262,0,0,0,0,0,0,0.0726482352339955,0,-3.46944695195361e-18,0,0,0,0.716344734064329,-0.00811966097333335,0,0,0.0267704618546253,0.09615594319184,0,0,0,0,0,0,0,0,0,0,-0.00128363399191786,0,0.0667981655177935,0,0.0531894099351554,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.167533325773356,0,0,0,0,0,0.301296098377618,0,0,0.0932134382098661,0.201242665988059,0,0,0.110161204938464,-0.0843555865541944,0,0,0,0,0,0,0.137263796462149,0,0,0.0338474230413356,0,6.93889390390723e-18,0,0.122480906173924,0,0,0,0,0,0,0,0,0,0,0.0481131846439061,0,0,0,0,0.202709415964211
X601628.CH.EQUITY,0,0.215155143557593,0,0,0,0,0.0307854950582832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504335879263591,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.403582981757256,0.232087696738983,0,0,0,0.0294979772999489,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.137057095085066,0,0,0,0.118449645423277,0.00562977519381201,0,0,0,0,0,0.261652461850028,0,0,0,0,0,0,0,0.232397911364134,0,0,0,0,0,0,0.0557849246584537,0,0,0,0,0,0,0,0,0.0149227135480405,0,0.203542770965779,0,0,0,0,0,0,0,0,0.0103085180678343,0,0
