,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.0927057104489229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0815303880417398,0,0.0232359270144484,0.519780664463754,0.572040052588576,0,0.179207276234953,0,-0.199976682025079,-0.17333275479486,0,0,0,0,-0.106874945383202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.23728213916553,0,0,0,-0.0844525428251991,0,0,0,0,0,0,0,0.0245454392574978,0,0,0,0,0,0,0,0,0,0,0,0.0695629249215996,0.180823365471411,0.0288201175645759,0,0,0,0.221517637742173,0,0.136060727145112,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.0329530020957222
X601939.CH.EQUITY,0,0.00585423569785284,0,0.814254612903994,0,0,0,0,0,0.000204612254639969,0,0,-0.0315917785319594,0,0,0,0.0783690557037338,0.1062633754712,0,0,0,0,0,0,0,0.00630464643532042,0,0,0,0,0.0436625842963595,0,0,0,0,0,0,0.0450175031486392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.910642248411705,0,-0.0893267227285979,0,0,0,0,0,0,0,0,0,0,0.0313808709010415,0,0,0.122440129155577,0,0,0,0,0,0,0.0446125029639624,0,0.0299238115168473,0,0,0,0,0,0,0,0.018613725437945,0,0,0,-0.025741731535778,0,-0.0787084164541678,0,0,0,0.00655726613192298,0,0,0,0,-0.0534922560208388,0
X601628.CH.EQUITY,0.0106578655782729,0,0,0,0,0,0,0,0,0.311545066547594,0,0.214610401135339,0,0,0,0,0,0,0,0.0865192614958457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463935265441649,0,0,0,0,0,0,0,0,0.184827245139876,0,0,0,0,0.128175661323079
X600036.CH.EQUITY,0,0,0,0.333184780903872,0,0,0,0,0.0722739590273373,-1.73472347597681e-18,0,0,0,0,0,0,0.150003601541278,0.11465510883291,0,0,0,0,0,0,0,0,0.126064191115563,0,0,0,0.137883808861085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420460314205347,0,0,0,0.0155110039211184,0,0,0
X601988.CH.EQUITY,0,0,0,0.0152672005932443,-0.15351403906102,0.0606546594670734,0,0.0657519431833656,0,0,0,0,0,0,0,-9.61091762214678e-05,0,0,0,0,-0.0574075175278724,0,-0.0168336362324319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101922289258905,0,0,0,0,0,0,0,1.05299281963749,0.0127228319465752,0
X1299.HK.EQUITY,0,0,0,0,0.0322674555845975,0,0,0,0,0.169158316220712,0,0,0.0855425028116009,0,0,0,0,0,0,0,0,0,0.206812938455687,0,-0.160712102906337,0.0897535458980991,0,0.0219251062370146,0,0.282014139260194,0,0.187336035654407,0,0,0,0,0,0,0,0,0.0597236268067663,0,0,0,-0.0489098275350371,0,0.161082651853031,0,0.0878348679308029,0,0,0.0545671901237749
X5.HK.EQUITY,0,0,0,0,-0.0211898018415744,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19417567381173,0,0,0,0.0337311953496042,0,0,0.224095847313649,0,0.485595906861961,0,0,0,0,0,0,0,0,0,-0.0557499367850285,0.0488963119115513,0,0,0,0,0.00628515200153973,0.060224611185081,0,-0.167938601125967,0,0.053224167461167,0,0.125141245915807,0
X388.HK.EQUITY,0,0,0,0,0.275452027706748,0,0,0,0.0775485916394615,0,0,0,0,0,0,0,0,-0.233084696043153,0,0,0,0,0.462050579570855,0,0,0,0.00742759782119051,0,0.179323455069723,0.0890560037829509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113533646145453,0.138588549237717,0,0,-0.0805238373697559,0,0,0.109583426996558
