,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.0224140346547747,0,0.704568629847854,0,0,0,0,-0.0298364882668982,0,0,0,0,0,0,0,0,0.0989746799989003,0,0,0,0,0,0,0,0,0,0,0.0404927192966003,-0.0354385130900327,0,0,0,0,0,0,0,0,0,0,0,-0.0183299383348156,0,0,0,0,0,0.156264667440913,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0574478169427021,0,0,-0.00481000837180094,0,0,0,0.159357954235884,0,0,0,0,0,0.459888550755525,0,0,0,-0.0404520132882931,0,0,0,0,0,0.0598172910761363,0,0,-1.73472347597681e-18,0,0.0923242483708363,0,0,0.0687124957259623,0,0,0,0,0,0.00453038576105324,0,0,0,0,0,0.0112753370966408,0,0.140679446373192
X601939.CH.EQUITY,0,0,0,0,0.561971333853919,0,0,0,0,0,0.175549278249775,0,-0.0815314253322497,0,0,0,0,0,0,0,0.0199312213502974,0,0,0,0.444307482701687,0,0,0,0,0,0.0227078552118872,0,0,0,0,0,0,0,0,-0.127999539701461,0,0,0,-0.0961294858307341,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0385798237185808,0,0,0.231412841226051,0,0,0,0,0.153664004626802,0,0,0,0.206548184750348,0,0,0,0,0,0,0,0,0,0.0220612668687507,0,0,0,0.204659121403521,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0.0890773968756635,0,0.105784870885638,0,0,0
X601288.CH.EQUITY,0.0867655045702461,0,0,0,0,0,0.065917143941464,-0.019762485374351,0,0,0,0,0,0.031213788536987,0,0,0.284055858566086,0,0,0,0,0,0,0,0.407421021542676,0,0,0,0.0390079826344268,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0048714441267153,0,0,0.0261255005298479,0,0,0,-0.0261568588203221,0,-0.118201470081225
X600036.CH.EQUITY,0.0111567602604773,0.243255473993252,0,0,0.0804286653258228,0,0,0.128911930923939,0,0,0,0,0,0.280415233398189,0,0,0,0,0.116918261939724,0,0,0,0,0,0,0.254451778168043,0,0.0659477882345942,0,0.0166320704225572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023662426096671,0,0,-0.0231787737883475,0,0
X601988.CH.EQUITY,0.154861887735788,0,0,0,0.215850757043763,0.317062819551721,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0.09206376199713,0,0,-0.0216794331781657,0,0.033424128113782,0,0,0,0,0.0217502734923265,0.204879228210534,0,0,0,0,0,0,0,0,0,0,-0.133297151463165,0,0.111255423240278,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.150156168211375,0,0,0,0,0,0,0.24076301403652,0.0714684915512213,0,0,0,0,0,0,0,0,0,-0.175655068268957,0,0,0.209342311714386,0,0,0.352302385705994,0,0,0,0,0,0,0,0,0,0,0,0.0198441610608125,0,0,0.0408943465178727,0.178823731145155,0.0662004509191582,0,0,0,0.0495907907455644,0,-1.38777878078145e-17,0,-0.0792956071727398
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.178802276190089,0,0,0,0,0,-0.159646241682757,0,0,0,0,0.205580357546809,0,0,0,0.0692714545428668,0,0,0.399879164188111,0.0599747386561939,-0.0492547438673804,0,0,0,-0.0386774398894634,0,0,0,0,0,0,0.21535098388934,0.18115091059843,3.46944695195361e-18,0,0,0,0,0.12535784569374,0,0
X388.HK.EQUITY,0,0.0422842660690786,0,0,0,0,0,0.0293170611390888,0,0,0,0,0,0.0206761223317085,0,0,0,0,0,0,0.0815009672391043,0.212592240427956,0,0.0828685644522893,0,0,0,0,0,0,0.198480699968186,0,0,0,0,0,0.194779304524252,0.148603078448986,0,0,-0.165635628414862,0,0,0,0,0,0.222901800635614,0,0,0,0,0.0766194506250504
