,FRM,degree_avg,closeness_avg,eigenvector_avg
FRM,1,-0.745671135442791,-0.641488143102097,0.288057981132185
degree_avg,-0.745671135442791,1,0.623281352060945,-0.246355672985799
closeness_avg,-0.641488143102097,0.623281352060945,1,-0.292783233450033
eigenvector_avg,0.288057981132185,-0.246355672985799,-0.292783233450033,1
