,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0.0535594701835137,0,0.355271164395226,0,0,0,0,0,0.0573578565326748,0,0,0,0,0,0.0919911633615563,0,0,0,-0.236125177278824,0,0,0,0.0485301455169439,0.277491406208877,0,0,0,0.218771199819348,-0.0405194151833843,0,0,0,0,-0.128058967167782,0,0,0,0,0,0,0,0,0,0,0,0,-0.0861666251448318,0
X002142.CH.EQUITY,0.530185925132462,0,0,0,0,0.0886403202797591,0.147919810212182,-0.0370596623863561,0,0,-0.116305970946615,0,0.0520734332521403,0,0,0.110654677419235,0,0,0,0,0,0,0,0.051764708908878,0,0.0739232971148614,0,0,0,0,-0.0899177396807454,0,0.08450652500099,0,0,0,0,0,0,0,0,0,0,0,0,-0.0723286311566663,1.73472347597681e-18,0,0,0,0,0
X600000.CH.EQUITY,0.110298955539211,0,0,0,0,0,0,0.194155670485072,0,0,0.0224346522887512,0.154271436609381,0,0,0,0,0.112415913783125,0,0,0,0,0,0,0,0,0,0,0,0.18647922883548,0,-0.0324833979858014,0,0,0,0,0,-0.0342246578201954,0,0,0,0,0,0,0,0,0,0,0.0819605142222411,0,0,-0.178342573586234,-0.0382141929247663
X600016.CH.EQUITY,0,0,0,0,0.00937740280720557,0,0.139890731683877,0.419602320473166,0,0,0.221772159676875,0,0.0611443114661385,0.0572563027687984,0.0259786790899374,0,0,0,0.103813872820919,0,0,0,0,0,0,0,0,0,0,0,0,0.0982454213791358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0873259641683603,0,0,0.337459514397289,0,0.0191593874821749,0,0.161248188209536,0,0,0,0,0.0779938845365816,0,0,0.0493305680283708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117234233911162,0,0.111646438496614,0,0,0,0,-0.117843712555962,0,0,0,0,0,-0.0415317175888844,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0.544199473451874,-0.0904914765429469,0,0,-0.00817826652875155,0,0,0,0,0,0,-0.0185685717757542,0,0,0,0,0,0,0,0,0.0340992264488862,0,0,0,0,0,0,0,0,0,0,0,0,0.126142847681754,0,0.0233446765157582,0,-0.141638862432636,0,0,0,0,0,-0.0779208882428249,0.0149085108978096,0
X601166.CH.EQUITY,0.247045456474534,0,0,0,0,0.270597480589019,0,0,0,0,0,0,0.237607456553805,0,0,0,0,0,0,0,0,0,0,0,0,0.0899607531984809,-0.0673529399930585,0,0,0,-0.0710663416811108,0,0,0,0,0,0,0.0072158333811961,0,3.46944695195361e-18,0.0326051901775707,0,0,0,-0.0597717979128856,0,0.0830725720635102,0,0.049701609222079,0,0,0
X601169.CH.EQUITY,0,0,0,0.728531865150855,0.0723904903230611,0,0,0,0,0,0,-0.0428106909416539,0,0.156976595638036,0,-0.0272217999842327,-0.00757686321353958,0,0.0304077725269332,0.0798381840527484,0,0,0,0,0,0,0,-0.0631842500688501,0,0,0,0,0.139823331801707,0,0,0,0,-0.16637385592559,0,0,0,0,0,0,0,0,0,-0.0907613978224194,0,0,0,-0.0690723980522402
X601229.CH.EQUITY,0,0,0,0.177257845615673,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.194056537149132,0.0243237027283553,0,0,0.100482195329723,0,0,0,0,0,0,0,0,0.071810213646876,0,0,0,0,0.0543653036461427,0.0497474955931102,0,0,0,0,0.0570767963071938,0,0.0395140321272598,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.031886891341687,0.0691199972342558,0,0,0.0234663835851584,0.0905942541722329,0,0,0,0,0,0.0432136099069013,0.197456746640314,0.453835629387958,0.044474455623745,0,0,0,0,0,0,0,0,0,-0.0173805614359142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111616443367496,0,0,0
X601328.CH.EQUITY,0,0,0.253323394830707,0.0421617159952013,0,0,0,0,0.106989032564226,0,0,0.0682653299448649,0,0.0196681173189463,0.145411228177886,0,0.0645414575570164,0,0,0,0,0,0,0,0,0,0,0,0.0294109597378845,0,0,0,0,0,0.106107830653631,0.0559149875836319,-3.46944695195361e-18,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.108995801224033,0,0,0,0
