,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X601988.CH.EQUITY,0,0.0554028726322735,0,0,0.277027185449816,0,0,0,0.145940029957122,0.137502714124461,0.062686293732331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172893469402927,0,0,0,0,0,0,0,0,0,0,-0.0277365642603604,-0.137480725827581,0,0.170100322900091,0.135966827331171,0,0,0,-0.0432836063775532,0.0643059556197305
X601998.CH.EQUITY,0,0,0.17005481109482,0.0954181105587569,0,0,0,0.294626995031127,0,0,0,0,0.134154136076358,0,0,0.0810800813042649,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.147308894802152,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939110229320681,0,0,0,0,0,0,0,0.0455607796836333
X601658.CH.Equity,0.0872804206612628,0,0.0511427408205974,0,0,0,0.200426664286095,0,0,0.293471174836972,0.0901955139902125,0,0,0,0.0362754322365664,0,0,0,0,0,9.95438232649463e-05,0.0710659659658437,0,0,0,0,0,0,0,0,0,0.0763410245261856,0,0,0,0,0.110067666626059,0.0381069356053844,0,0,0,0,0,-0.1130582190431,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0.150024241907733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0741087877525349,0,0.267876713967428,0.547179791513081,0,0.193969615999601,0,0,0,0,0,0,0,0,0,0,0,-0.113029683744406,-0.0986008804376952,0,0,0,0.0306727599654054,0,0.016631477556718,0,0,0.0822867869850021,0,0,0,0,0.02788526837837,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0.0731266290738724,0,0,0,0,0,0,0,0,0,0.211017411245158,0.289789735652259,0,0.213634969461628,0,0,0,0,-0.113860264063009,-0.0349810854247731,0,0,0,-0.163848369866996,-0.00263693302093662,0.0980430149935679,0,0,0,0,0,0,0.114382188592213,0,0,0,0,0,0,0,0,0,0.093029658146738,0,0,0,0.293765935326958
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310955234076935,0.0350396786024051,0,0,0,0,0,0,-0.188343372359042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269145103160399,0,0,0.0369975086254362,0,0.233924314795305,0,0,0,0.0586844313106153,0.0268943479222067,0,0,-0.11246750439689
X000166.CH.EQUITY,0,0,0,0,0,0,0.0770412428974211,0,0,0,0,0,0,0,0,0,0,0,0.00115159818834031,0,0,0.00120234100841036,0.0900994406045516,0,0.289713419938278,0.380787566128598,0,0.14541326939792,0.0145275792979627,0.114868708711071,0,0,0,0,0,0,0.162334326474874,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0.0234307760767735,0.0834542937847599,0,0.0655989711534496,0,0,0,0,0,0,0.263550806155874,0,0,0,0.1055639178376,0,0,0,0,0.29085904458316,0,0,0,0.108791770852691,0.149343367870816,-0.00151133510807833,0,0,0,0,0,0,0,0,0,0,0,0.075863255198844,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0.0608791995864367,0,0,0,0,0,0,0,0,0.0803386847505996,0,0,0,0,0,-0.0512965898698856,0,0,0.192608344973666,0,0,0,0,0,0.208997614565274,0.0970373386223334,0,0,0.100964567902606,0.0434727846320146,0,0,0,0,0.149398195523632,0,0.0343774302908948,0,0,0,0,0.029333780587166,0,0,-0.0437215364964326,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0595366572374594,0,0,0,0,0,0,0,0,0,0,0.0929044673142362,0,0,0,0.0759425900297691,0,0,0,0.188361670324433,0.493219953825134,0.0486616458979755,0,0,0,0,0.0905352315636458,0,0,0,-0.0682509903913109,0,-0.0655465355274553,0,0.0222554468955173,0,0,-0.00250188998485822,0,0,-0.0102077081826309,0,0.0117533393305647
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.19710257293646,0,0,0,0,0,0,0,0,0,0,0,0.120206005980027,0,0,0,0.0363763582333962,0.539270655867603,0,0,0.256155099569403,0,0,0.0285368199190405,0,0,0,0,0,0,0,0,0,0,0,0,-0.0697977296562325,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205833329645645,0.240434236366391,0,0.0340610761764841,0,0,0.241030349317498,0,0,0,0.0384193071609398,0,0.104972542825013,0.00507468035452538,0,-0.00677790889289291,0,0.0139288091524148,0,0,-0.067329304290323,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0.149488013389997,0,0.0506921047636925,0,0,0,0,0,0,0,0,0,0,0,0,0.090599617405663,0,0,0.179059562619705,0,0,0,0.090712524032604,0,0,0,0,0,0,0,0.183847262829924,0,0,-0.0816010436415427,0,0,0,0.117903538421152,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.0335797883655859,0,0,0,0,0.00484193193171642,0,0,0,-0.00326980710326316,0,0,0,0,0.125094679068879,0,0.738645393038144,0,0,0,0,0,0,0,0,-0.165593598634995,0,-1.73472347597681e-18,0,0,-0.0117727942396008,0,0.103701166602377,0,0,0.103432498215432,0,0,0,0,0,0,0,-0.0785089062039442,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562020315140218,0,0,-0.0600892802391819,0,0,0.0482141569985772,0,0,0.142140206197286,0,0,0.228034859000961,0,0,0,0,0.0543064795916313,0,0.313102372448282,0,0,0,0,0,0,0,0,0,0,0,0,-0.057061706535228,0,0,0,-0.0577359999780728,0,0
X601688.CH.EQUITY,0,0.0596029377619247,0,0.0430534761834765,0,0,0.00939593608262445,0,0,0.0905122562231224,0,0,0,0,0,0,0,0,0,0.24339528075538,0.215662947356076,0,0.15921118527828,0.0724863729783014,0.0479533509988967,0.0836272455215062,0,0.0304588414207246,0,0.016097891030931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720974749503854,0.0543584840144663,0,0,0,0,0,0,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,-0.0969454377020687,0.00589685694789981,0,0,0,0,0,0,0.17801225222107,0,0,0.399815283150566,0.203991473347126,0,0,0,0.22621681607914,0,0,0.0884053384622622,0,0,-0.0444118285756732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278993611064792,0
X388.HK.EQUITY,0.0824697949488643,0,0,0,0,0,0,-0.387573923096878,0,0,0,0,0,0,0,0.146830364790869,0.111071790203036,0,0,0,0,0,0.35381444723805,0,0,0.313376912513315,0,0,0,0,0,0,0,-0.1779507942866,0,0,0,0,0.106609970325781,0,-0.0369434850256704,0,0.038094852698571,0,0,0,0,0,0.324279216413865,0.0849266376492047,0.161549596568783,0
X601318.CH.EQUITY,0.145053515155346,0,0,0,0.0219407269969034,0,0,0,0,0,0,0,0,0,0,0.110294459798041,0,0,0.0674493198823139,0,0.0471010552289447,0,0,0,0,0,0,0,0,0,0,0,0.371050433273333,0.0143374247160639,0.0595490633483082,0,0.145988636168215,0,0,0,0,0,-0.0163515127621716,0,0,0,0.136801694998156,0.0861219351880475,0,0,0,-0.0952399971258149
X601319.CH.EQUITY,0.312356890131177,0,0,0,0,0,0,0,0,0.0591241228004929,0,0.171536425995451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490280919625146,0.04894046687493,0,-0.0244309064326932,0,0,0,0.264106754252699,-0.00436278892855359,0,-0.0510115853973215,0,-0.0468440116205163,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00665444730090245,0,0,0.0370326672250957,0,0,0,0,0,0.246322582685,0,0,0,0.0981606843726403,0,0.019742791588284,0.399593324836462,0,0,0,0.0729593555010118,0,0,-0.161130466043038,0,0,0,0,0.181861476116037,0,0,0,0
X601601.CH.EQUITY,0,0.00346626931760823,0,0,0,0.124379712742136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434310225472343,0.27009531528828,0.185498967666323,0,0.129365321116928,-0.0306365572175128,0,0,0,0,0,0,0,0,0,-0.140403328293425,0,0,0,0,0
