,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.0369613891826605,0,0,0,0.149853918316287,0,0,0.0273527099044114,0,0,0,0,0,0,0.133752770885574,0,0,0,0,0,0,0,0,0,0.159010526539551,0,0,0,0.0289722811061386,0,0,0,0.225565882164176,-0.0196128718272944,0,0,0,0,0,0,0.0663590337777722,0,0,0,0,0,0,0.102076634247369,-0.309303229755587,0,-0.147442050217791
X002142.CH.EQUITY,0.431344368078399,0,0,-0.31092633233461,0,0.188365109624767,0.104157699830447,0,-0.0952894458779665,0,0,0,0,0,0.015968478847951,0,0,0,0,0,0.100452135353115,0,0,0,0,0,0,0,0.0814809359025083,0.0863598781847039,0,0,0.341030307321959,0,0,0,0,-0.156066808713891,0,0,0,0,0,0,0,0,0,0,0,0,-0.0984948216193656,-0.263302576368173
X600000.CH.EQUITY,0.0820063133711332,0,0,0,0.0234413177044814,0.0697171637655662,0,0,0,0,0.406103677643788,0,0.000958382830312685,0,0.0573807186849993,0,0,0,0,0,0.213530760593607,0,0,0,0,0.00991094108787798,0,0,0,0,0,0,0,0,0,-0.0160361681526944,0,0,0,0,0.0926862546662099,0,0,0,0,0,0,0,0,0,0,0.144356798619579
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.122459905913723,-3.46944695195361e-18,0,0,0,0.109028104617376,0.144254038214105,0,0.0360278965555119,0,0,0,0.00242051742034966,0,0,0,0,0.0738879094607565,0,0.080273939190151,0,0,0,0,0,0.309640198338538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.0388753580185807,0,0.109998441054551,0,0.408711293046144,0,0,0,0,0,0,0,0,0,0.0561600654112532,0,0,0,0,0.292739307371731,0.0192626840079528,0,0,-0.0520167297694204,0,0,0.219338353106608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.274950032259446,0.115652302330762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088072025511892,0,0,0,0,0,-2.16840434497101e-19,0,0.129072410383367,-0.00266516165365339,0,0,0,0.00768703602365234,0,0,0.176200298421532,0,0.11200694780982,0,0,0,0,0,0,0,0,0,0.0942854697847646,0,0,0.00419328559144491,0,0.0191303302867608,0
X601166.CH.EQUITY,0,0,0,0.175166459861349,0,0.510679247020655,0,0,0,0,0,0.0335471072871879,0.0462796247332992,0,0,0,0,0,0,0,0,0,0,0,0.00726602910602006,0,0,0,0,0,0,0.098541443188394,0,0.141636524106518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.252447988367306,0.457459534277057,0,0,0.10842636285926,0,0,0,0.147302729379124,0,-8.67361737988404e-19,0,0.124541735160013,0,0,0,0,0,0,-0.0680048693099183,0,0,0,0,0,0,0.0497268820654092,0,0.010970972817027,0,0.0880874858872405,0,0,0,0,0,0,-0.0313609996004425,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,-0.0186195857848422,0,0,0,0,0,0,0,0,0.210307510742602,0,0,0,0.401362221958843,0,0,0,0,0,0.0685566692418397,-0.0431792592558415,0,0.344891789556364,0,0,0,8.67361737988404e-19,1.38777878078145e-17,0,0,0,0,0,0.257239228613687,0,0,0,-0.18995877866296,0,0,0.0732038494184132,0,0,0,0,0,-0.184213654277796,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.170209128968402,0,0,0.606804681737652,0,0,0.14022044016289,0,0,0,0,0,0,0,0.112367449962072,0,0.100474809151746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105297696326378,0,0.0295159466063944,0,0.0186055143368031,0,0,0.0494866768217133
X601328.CH.EQUITY,0,0,0.284319508151864,0,0.125203748099602,0,0,0.156248711944726,0,-1.73472347597681e-18,0,0,0,0.0292577110882111,0.066526481595383,0.150010363399797,0,0,0.181587797290606,0,0,0,0,0.016759449802799,0,0,0,0,0,0,0,0,0.0202093495936076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12400637273109,0,0,0.0322572420783806,0
X601398.CH.EQUITY,0,0,0.169011815706049,0,0,0,0,0,0,0.0890283863517346,0.321148468036635,0,0.0240270864256884,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171784254173224,0,0,-0.156998476293149,0,0,0.0702633955754405,0,0,-0.028198789663933,-3.46944695195361e-18,0,0,0,0,0.0968135398055714,0,0,0,0.172761657632767,0,0
X601818.CH.EQUITY,0.251416159388847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155463176209465,0,0,0,0,-0.0301816626323249,0,0,0,0,0,0,0.00139337210368487,0,-0.101295824037543,0,0,0.231426300239702,0,0,0,0,-0.050476808822575,0,0.0491913730068822,0.23756886930481,0,0,0,0,0,0,0,0,0,0,0.143494096685916
X601939.CH.EQUITY,0.0795864820287071,0.00460111003112979,0,0,0,0,0,0.0213645573660894,0.470538697156809,0.344571166078753,0,0.177648962676671,0,0,0.0651991536997712,0.0586235743437961,0,0,0,0,0,-0.0505811983703867,0,0,0,0,0,0,0,0,0,-0.0144633198433508,0,0,-0.0151976496876579,-0.0772687193137479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392839013051435
