,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.235373486768783,0,0,0,0.222438442479213,0,0,0,0,0,0,0,0,0,0,0,0,0.0627539267206189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288793542110907,0,0,0.0209142309308831,0,0.0487526266519659,0.0460282995240662,0,0,-0.0585983928794327
X002142.CH.EQUITY,0.0919211709697189,0,0,0,0,0.24454276513225,0,0.12448988645984,0,0,0,0,0.133812813564538,0,0,0,0,0.0287208295264697,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.0440842384010621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234345258574911,0.0780758092106198,0,0,0,0.0531488745296652,0,0,0
X600000.CH.EQUITY,0,0,0,0.260911978773732,0.0275847932529404,0.0985150151559814,0,0,0,0,0,0.0635112522403049,0.0297137075404567,0.244665415930756,0,0,0.0309030958934692,0.0517907801227213,0.0420324009746395,0,0,0,0,0,0,0,0.0598045279408019,0.123027632535953,0,0,0,0,0,0,0,0,0,0.0947179844278303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.259576504459147,0,0.0360480090333791,0,0,0,0,0,0.261500636082111,0,0,0.0622417894963172,0.0630126668911669,0,0,0,0,0.0607214555098458,0,0,-4.33680868994202e-19,-0.0976077522991673,0.362618910579989,0,0,0,0.0392487093008422,0.0475946339521018,0,0,-0.132595830527174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837865650871733,-0.0452630690217639,0
X600016.CH.EQUITY,0,0,0.0232051628155615,0.169698679452345,0,0.0628074516190829,0,0,0,0,0,0,0,0,0.204672264292806,0,0,0.20540879013752,0,0,0.148518175727989,0,0,0.12187013651228,0,0,0,0,0.00365042175632943,0,0,0,0.0625278303228256,0,0,0,0,0,0.0425118108368834,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.186635226650661,0.306911577217125,0,0,0.0256570213904047,0,0,0,0,0.0503477738457235,0,0,0,0,0,0,0.0431956314191105,0.104665005474785,0,0,0,0,0,0,0,0,0.170296219889187,0,0,0,0.12859563218933,0.00897386182595182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0.160746634785227,0,0,0,0.194650956817237,0,-1.73472347597681e-18,0,0,0.212827267046563,0.0654899376175132,0,0,0,0,0,0,0.0173808968113416,0,0,0,0,0,0,0,0,-0.0861965428768584,0,0,0,0,0,0,0,0,0,0.00325624610768317,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0.00046414166398767,0,0.110791195930128,0,0.0615411559560766,0,0.317027930147982,0,0.124807589573214,0,0,0,0,0,0,0,0,0,0,0,0,0.0302409158931348,0,0,0,0,0,0,0,0,0,0,0,0,0.0320698711291745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115999119316638,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0,0,0.02136768935038,0,0,0,0,0,0.207214213392824,0,0.14637784356008,0,0,0,0,0,0,0,0,0.240021360015322,0,0,0.0321176915847188,0.072197864752762,0,0,0,0,0,0,0.204195790987147,0,0,0,0,0,0.204861434651566,0,0,0,0,0,0,0,2.16840434497101e-19,-0.0260492832426735,0
X601166.CH.EQUITY,0.0335714030792119,0,0,0,0,0.0981230661810157,0,0,0.104970179927408,0,0,0,0,0.141435583157965,0,0,0,0,0,0.106078811743205,0,0.01090121979402,0,0,0,0,0,0,0,0,0.0584385149337893,0,0,0,0,0,0,0,0,0,0.0677759661276733,0,0.152551495375394,0,0,0,0,0.0980993272143923,0.0998136011023253,0,0,0
X601169.CH.EQUITY,0,0,0,0,0.197604294268934,0,0,0,0,0,0,0.0234538885120245,0,0,0.0906728523450946,0,0.170062507402469,0,0,0.0210840443146912,0.139073469407405,0,0,0,0.342217525639633,0,0,0,0,0,-0.0793165278372977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.046346505090609,0
X601229.CH.EQUITY,0,0,0.343638796602316,0,-1.73472347597681e-18,0,0,0,0,0,0.195695988241529,0,0,0.101938310283278,0,0.0116673422418959,0,0,0,0,0,0,0,0,0.0950376761890898,0,0.0678411217306354,0,0,0,0,0,0,0,0,0.0514666431625752,0.173147560343758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.140896108499971,0,0,0,0,0,0,0,0,0,0,0.0305908513383285,0,0,0,0,0.316733112755597,0,0,0,0.0785701164606101,0,0,0,0,0,0,0,0,0,0.158696039872337,0,0,0,0,0,0,0.0719264521655683,0,0.167779220619711,0,0,0,-0.150343759987317,0,0,0,0,0.103332103137588,-0.0680561149885821
X601328.CH.EQUITY,0,0,0,0,0,0,0.0538210553364727,0.117465352020715,0,0,0,0.348632782395541,0.364367919155236,0,0,0,0,0,0,0.0577722903799902,0,0,0,0,0,0,0,0,0,-0.00599136993854837,-0.111073465807061,0.0622868968495913,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154848257905114,0,0,-0.00746691699622655,0,0.0400645306994366,0,-0.128280792004745
X601398.CH.EQUITY,0,0.0448125159795242,0,0,0.126289655063566,0,0,0,0,0,0,0,0,0,0,0,0.143296657690335,0.0309906005850244,0.31320167423682,0.18950555749728,0,0.294932561229605,0,0,0,0,0.0336816483120664,0,0,0,0,0,0,-0.158036107601185,0,-0.102113980335635,0,0.161323667320127,0,0,0,0,0,0,0,0,0,0,-0.0481652268951159,0,-0.00720834384907918,-0.137017019975335
X601577.CH.EQUITY,0,0,0,0,0,0,0.0473228204435273,0,0.109190782263438,0,0,0,0,0,0,0,0,0,0.0802516461183338,0,0,0,0.23624859366678,0,0.388237582414979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620834520427743
X601818.CH.EQUITY,0,0,0.152910261420811,0,0.434560526199716,0,0,0,0,0,0,0,0,0.11396622536844,0,0,0,0,0,0,0,0,0,0,0.220202975522636,0,-0.0228089604420333,0,0,0,0,0,0,0,0,0,0.00400939623891248,0,0,0.0225845196901725,0,0,0,0,0,0,0,0,0,0,0,0
X601838.CH.EQUITY,0,0,0,0,0.0887280355061939,0,0.0340107048174277,0,0,0,0,0,0,0.097624233279,0,0,0,0,0.104270509755115,0,0,0,0.0384325377996892,0,0,0,0,-0.047040926477311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21125518162074,0,0,0,0,0.088503288665734,0,0,0
X601939.CH.EQUITY,0,0,0,0.00890840033965616,0,0,0,0,0,0,0,0,0.394720245347007,0,0.236156141923929,0,0.140128488789885,0.205655102701371,0,0.0787665352429573,0,0,0,0,0,0,-0.0532325202156276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0548950210900187,-0.0386202698485946,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.171552383948456,0,0,0,0.363026856992384,0,0.0898390410500721,0,0,0,0.19412008738897,0,0,0,0,-0.0298331409860594,0,0,0.229000063253356,0,0,0,0,0,0,-0.0872382031189719,0,0,0,0,0,0,0,0.290088937728499,0,0,0,-0.109874444940833,-0.03989152936535,0,0,0,0,0.218793791235054
