,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X601155.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.209918573501445,-0.346604625558325,0,0.0647377207608555,0.398726388676857,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156901384470773,0,0,0,0.177277997830419,0,0,0,0,0,0,0,0.218245330359139,0,0,0,0,0,0,0,0,0,0,-0.00809959874538656,0,0,0,0,-0.0524984319628812,0,-0.0275075421375227,0,-0.18931610810749,0.0698021478981593
X002142.CH.EQUITY,0.403967532177293,0,0,0,0,0.175385818487824,0,0,0,0,0,0,0,0,0.0406446324338747,0,0,0,-0.104114640562936,0,0,0,0,0.117940575120431,0,0,0,0,0,0,0,0.12665151293597,0.114094234231517,0,0.00553259484213043,0,0,0,0,0,-0.0761478390899999,0,0,0,-0.0259799017449604,0,0,0,0,0,0,-0.0983592606839428
X600000.CH.EQUITY,0,0,0,0,0,0,0.216726689822254,0,0,0.168992951231012,0,0,0,0.0101437384175792,0.0412200108361035,0,0.0883233958070108,0,0,0,0,0.160066441748011,0,0,0,0,0,0,0,0,0,0,0,0.0564205583843933,0,0,0,0,0,0.116452941661963,0,0,0.0511142959721037,0,0,0,0,0,0,0,-0.0102285162059809,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.29870954329362,-0.0763602146450566,0,0.334777260966523,0,0,0.080803753634745,0,0,0,0,0,0,-0.49810078082213,0,0,-0.0382121293126186,0,0,0,0,0,0.574974332183019,0,0,0.194151851186249,0.0764071443992981,0,0,0,-0.0104377103820305,0,0,0,0,0,0,0,0,0,0,-0.0739831865332204,0,0,0,0
X600036.CH.EQUITY,0.0694428350927749,0,0,0.103414128090727,0,0,0.283570122341284,0,0,0,0,0.151970140936204,0,0,0.0937047642428981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857329554292498,0,0,0,0,0.0673834265648654,0,0,0,0,-0.0516225694669799,0,0,-0.0544642406732306,0,0,0,0,0.120081262644404,0,0,0
X601166.CH.EQUITY,0.554012921461109,0,0,0,0,0,0,0,0,0,0,0.0784383326518021,0.118973582949856,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189941451282301,0,0,0,-0.169763998408047,0,0,0,0,0,0,0.074472041124149,0,0,0.0972649100552804,0,0,0,0,-0.0588695104360579,0,0.101155712558363,0,0,0,-0.027411456059783,0
X601169.CH.EQUITY,0,0,0.0780057293876071,0.729430161627913,0.0281726603134022,0,0,0,0,0,0,0.0469260063436371,0.130417621873974,0,-0.0152595770781741,0,0,0.159416804475354,0,0,0,0,0,0,0,0,-0.0260621966484947,0,0,0,0.10357813977621,0,0,0,0,0,-0.2530821467898,0,0,0,0,0.0586395286523704,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0.0859985566332686,0,-3.46944695195361e-18,0,0,0,0,0.28655635385241,0,0,0,0.10956893145595,0.069929915983756,0,0,0.0863745525113836,0,0.117699819214964,0,0,0,0,0,0,0,0,0,0,0,0.0118577403483506,0,0,0,0,0,0.235431656126972,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0275459233119269,0,0,0,0,0,0,0,0,0,0,0.080056550912536,0.135823412363438,0.445478045564134,0.0566646908609327,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115385518116138,0,0,0,0,0,0,0.0313178138359547,0,0,0,0,0,0,0,0,0,0.124169463143483,0,0,0
X601328.CH.EQUITY,0,0,0.26728727708069,0.0946512874564841,0,0,0,0.107373849903618,0,0,0.211702539005918,0,0.0288602290712441,0.102281891889497,0,0.125541104199926,0,0,0,0,0,0,0,0,0,0,0,0.0165421731524001,0,0,0,0,0,0,0.0757275924509447,0,0,0.0372659579728776,0,0,0,0,0,0,0,0.0686573659145222,0,0.0129237974190942,0,0.0228073617270205,0.0347937317627216,0
