,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.181110952399921,0,0,0,0,0,0,0.123291401751385,0,0,0,0,0,0,0,0,0,0,0.196595405171037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226291158213254,0,0.0819268902207396,0,0,0,0,0,0,0,0,-0.203880068961753,0,0
X002142.CH.EQUITY,0.242104555894315,0,0,0,0,0.0177435355507871,0.0787391672006345,0,0,0,0,0.0212072150401549,0,0.038980479313287,0.100893409955564,0,0,0,0,0,0,-0.00115115709756408,0,0,0,0,0,0,0.112104206259266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.200179768929535,0.00339441955383742,0,0,0.101107218938481,0.160252021856437,0,0,0,0,0.266765494015671,0,0.22043177783515,0,0.0425528142487319,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305267749303601,0.093567388830698,0,0,0,0,0,0.0693217843109192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,-1.38777878078145e-17,0,0,0.297642389751406,0.0419301803878995,0,0,-6.93889390390723e-18,0.297633353327261,0,0,0.0403892784881407,0,0,0.189191607909406,0,0,0,0,0,0,0,0,0,0,0,0.178488926996556,0,0,0,0.0241127401318592,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.0425184389083593,0,0.4067788539199,0,0,0,0,0.0899216587593775,0,0.084731688254075,0,0,0,0.190989681997365,0,0,0,0,0.0742481060321953,0.101300394275484,0,0,0,0,0,0,-0.0651019399871422,0,0.0470108454895986,0.158574108562577,0,0,0,-0.0108354474659235,0,0,0,0.0601718276185436,0,0,0,0,0,0,0,0,0,0,0,0.0169921394567218
X600036.CH.EQUITY,0.0844203754210902,0.368106225558758,0.0350788068404109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0982722001624386,0,8.67361737988404e-19,0,0,0,0.131330546363944,0,0,0,0.0331859072991728,0.173063493270437,0,3.46944695195361e-18,0.0884819769517567,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.169635469435749,0,-0.0248517748487855,0.00243009070160531,0,0,0.0398690799753491,0
X601166.CH.EQUITY,0,0.538845034953365,0,0,0,0,0,-0.180064483165503,0,0,0,0.036491509232126,0,0,0.108471266143367,0,0,0,0,0,0,0,0,-0.0149914823565773,0.215214064040972,0,0,0,0,0,0.172198817458921,0.267207570139957,0,0,0,0,0,-0.0567564271297815,0,0,0,0,0,0,0,0.0461242757887853,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.393770868543151,0,0,0,0,0,0,0.405612219556596,0,0,0,0,0,0,0,0.0439435046807868,0.161431694647052,0,0,0,0,-0.0161913902252413,0,0,0.0170928580351971,0,0,0,0,0,0,0,0,-0.0292378061267882,0,0,0,0,0,0,0,0,0,0.180328609133622,0,0,0.086633391697185,0
X601229.CH.EQUITY,0,0,0,0.241793089234219,0,0,0,0,0,0.193122969965135,0,0,0,0.261045968796115,0,0,0,0,0.0161773978455291,0,0,0.14698411613827,-8.67361737988404e-19,0,0.187363585521674,0,0,0,0,0,0,0.0372618013349717,0,0,0,0,0,0.0788888677416406,0.0382194426167086,-0.00368660838172695,0,0,0,0,0,-0.227245919275212,0,0,0,-0.137721334476176,0
X601288.CH.EQUITY,0,0,0,0.157285062412342,0,0,0,0.0701275999533412,0.13332455475731,0,0,0.441119404003931,0,0.0438407949728504,0,0,0,0,0.0598407740526438,0,0,0,0.133663197989247,0,0.0703836500662783,0,0,0,0.070797908281407,0,0.0242977339269562,0,0,0,0,0,0,-0.0384191116502887,0,0,0,0,0.00719766230454849,0,0,0,0.0532645126923166,0,0,0,0
